Freq.	(V(n004)/I(R5)-50)/(V(n004)/I(R5)+50)
1.38038426460292e+009	(-3.77371722906821e+001dB,1.76741888511299e+002°)
1.44543977074596e+009	(-3.72681632272612e+001dB,1.72440365034700e+002°)
1.51356124843624e+009	(-3.68132989898272e+001dB,1.67979106050097e+002°)
1.58489319246115e+009	(-3.63746405833910e+001dB,1.63365991071210e+002°)
1.65958690743760e+009	(-3.59544370741654e+001dB,1.58609766399729e+002°)
1.73780082874942e+009	(-3.55551798730482e+001dB,1.53720764223306e+002°)
1.81970085861003e+009	(-3.51796014505348e+001dB,1.48711866509967e+002°)
1.90546071796329e+009	(-3.48305996637871e+001dB,1.43599545540990e+002°)
1.99526231496893e+009	(-3.45110810148819e+001dB,1.38404752819680e+002°)
2.08929613085409e+009	(-3.42237330029884e+001dB,1.33153407017264e+002°)
2.18776162394960e+009	(-3.39707542349984e+001dB,1.27876267733901e+002°)
2.29086765276783e+009	(-3.37535861833994e+001dB,1.22608081907560e+002°)
2.39883291901955e+009	(-3.35726967913234e+001dB,1.17386039259823e+002°)
2.51188643150964e+009	(-3.34274596143901e+001dB,1.12247733732694e+002°)
2.63026799189544e+009	(-3.33161532285704e+001dB,1.07228947659560e+002°)
2.75422870333823e+009	(-3.32360796870256e+001dB,1.02361611974483e+002°)
2.88403150312667e+009	(-3.31837763948204e+001dB,9.76722378059203e+001°)
3.01995172040209e+009	(-3.31552804990415e+001dB,9.31809881490879e+001°)
3.16227766016845e+009	(-3.31464020829545e+001dB,8.89014114892599e+001°)
3.31131121482599e+009	(-3.31529703736080e+001dB,8.48407389905206e+001°)
3.46736850452540e+009	(-3.31710309052136e+001dB,8.10005794574953e+001°)
3.63078054770110e+009	(-3.31969858456540e+001dB,7.73778334969181e+001°)
3.80189396320570e+009	(-3.32276808661982e+001dB,7.39656753959674e+001°)
3.98107170553507e+009	(-3.32604485789670e+001dB,7.07544985202662e+001°)
4.16869383470346e+009	(-3.32931208554343e+001dB,6.77327712432544e+001°)
4.36515832240177e+009	(-3.33240211111442e+001dB,6.48877953392706e+001°)
4.57088189614886e+009	(-3.33519436963068e+001dB,6.22063912739068e+001°)
4.78630092322650e+009	(-3.33761215071770e+001dB,5.96755485718695e+001°)
5.01187233627285e+009	(-3.33961759668602e+001dB,5.72830646077796e+001°)
5.24807460249786e+009	(-3.34120385803341e+001dB,5.50181417096791e+001°)
5.49540873857638e+009	(-3.34238359070288e+001dB,5.28718266167568e+001°)
5.75439937337171e+009	(-3.34317454403448e+001dB,5.08371060795631e+001°)
6.02559586074373e+009	(-3.34358556595635e+001dB,4.89085072913130e+001°)
6.30957344480209e+009	(-3.34360813211243e+001dB,4.70812484366973e+001°)
6.60693448007613e+009	(-3.34321716227255e+001dB,4.53502522748226e+001°)
6.91830970918954e+009	(-3.34238035799272e+001dB,4.37094519380610e+001°)
7.24435960075008e+009	(-3.34107088988216e+001dB,4.21516515494624e+001°)
