time	V(bf_source)	V(samplecap)
3.633107199629303e-002	-7.346691835283326e-002	-9.273378560074140e-002
3.643107199629303e-002	-7.344880817430044e-002	-9.271378560074139e-002
3.653107199629303e-002	-7.343069799613838e-002	-9.269378560074139e-002
3.663107199629303e-002	-7.341258781842991e-002	-9.267378560074140e-002
3.673107199629303e-002	-7.339447764063392e-002	-9.265378560074139e-002
3.683107199629303e-002	-7.337636746257360e-002	-9.263378560074140e-002
3.693107199629303e-002	-7.335825728462150e-002	-9.261378560074139e-002
3.703107199629303e-002	-7.334014710684947e-002	-9.259378560074140e-002
3.713107199629303e-002	-7.332203692911778e-002	-9.257378560074139e-002
3.723107199629303e-002	-7.330392675168573e-002	-9.255378560074140e-002
3.733107199629303e-002	-7.328581657439119e-002	-9.253378560074139e-002
3.743107199629303e-002	-7.326770639685656e-002	-9.251378560074139e-002
3.753107199629303e-002	-7.324959621944394e-002	-9.249378560074140e-002
3.763107199629303e-002	-7.323148604231476e-002	-9.247378560074139e-002
3.773107199629303e-002	-7.321337586516628e-002	-9.245378560074140e-002
3.783107199629303e-002	-7.319526568808200e-002	-9.243378560074139e-002
